,Where,Area,Sub-Area,Question
113,Data Room,General Company Info,General Company Info,Statutory registers
114,Data Room,General Company Info,General Company Info,Trading names
115,Data Room,Leadership,Governance,List of board members
137,Data Room,Operations & Procurement,Facilities,Evidence of appropriate insurances in respect of the property
138,Data Room,Operations & Procurement,Facilities,"Details of lease arrangements, terms and evidence of payment of rent"
139,Data Room,Operations & Procurement,Facilities,Evidence of all permits and permissions needed to use the premises for the business run by the Company
140,Data Room,Operations & Procurement,Facilities,"Evidence of ownership of business premises, or leasing"
147,Data Room,Operations & Procurement,IT/Technology,"Details of all computer hardware, databases, software and networks owned or used by the Company together with documentation"
148,Data Room,Operations & Procurement,IT/Technology,"Details of domain names, web-sites and the like created for and used by the Company"
149,Data Room,Operations & Procurement,IT/Technology,Details of recurring technical problems
150,Data Room,Operations & Procurement,IT/Technology,Details of security and back-up processes
151,Data Room,Operations & Procurement,IT/Technology,Details of source codes and the like developed for the Company by third parties and details of the ownership of these
168,Data Room,Operations & Procurement,Processes,Standard operating procedures
184,Data Room,Operations & Procurement,Procurement,Procurement policy(ies)
195,Data Room,Organisation & Staff,Organisation,"Vision, mission and purpose documentation"
196,Data Room,Organisation & Staff,Organisation,Organisational SMART objectives
215,Data Room,Organisation & Staff,Staff,Provide a list of employees and their duties
216,Data Room,Organisation & Staff,Staff,Provide all employment contracts / agreements
217,Data Room,Organisation & Staff,Staff,Full organisation chart
218,Data Room,Organisation & Staff,Staff,Performance management process documentation
238,Data Room,Sales & Marketing,Competition,A report on the competition and the Company’s competitive advantage
240,Data Room,Sales & Marketing,Competition,Market research/competitor analysis documentation
241,Data Room,Sales & Marketing,Competition,PESTLE analysis
269,Data Room,Sales & Marketing,Marketing,Key marketing documentation
270,Data Room,Sales & Marketing,Marketing,A list of major customers
